,Simulation number,Percent of coerced cars,Percent of lying cars,Percent of honest cars,Density,Accuracy,True Positives,True Negatives,False Positives,False Negatives,Percent True Positives,Percent True Negatives,Percent False Positives,Percent False Negatives
0,0,66.66666666666666,11.11111111111111,22.22222222222222,0.07111111111111111,68.77777777777779,521,98,2,279,57.88888888888889,10.888888888888888,0.2222222222222222,31.0
1,1,66.66666666666666,11.11111111111111,22.22222222222222,0.07111111111111111,65.66666666666666,491,100,0,309,54.55555555555556,11.11111111111111,0.0,34.333333333333336
2,2,66.66666666666666,11.11111111111111,22.22222222222222,0.07111111111111111,67.66666666666666,511,98,2,289,56.777777777777786,10.888888888888888,0.2222222222222222,32.111111111111114
3,3,66.66666666666666,11.11111111111111,22.22222222222222,0.07111111111111111,69.11111111111111,523,99,1,277,58.111111111111114,11.0,0.1111111111111111,30.777777777777775
4,4,66.66666666666666,11.11111111111111,22.22222222222222,0.07111111111111111,67.33333333333333,507,99,1,293,56.333333333333336,11.0,0.1111111111111111,32.55555555555556
5,5,66.66666666666666,11.11111111111111,22.22222222222222,0.07111111111111111,63.888888888888886,477,98,2,323,53.0,10.888888888888888,0.2222222222222222,35.888888888888886
6,6,66.66666666666666,11.11111111111111,22.22222222222222,0.07111111111111111,64.33333333333333,481,98,2,319,53.44444444444445,10.888888888888888,0.2222222222222222,35.44444444444444
7,7,66.66666666666666,11.11111111111111,22.22222222222222,0.07111111111111111,65.88888888888889,493,100,0,307,54.77777777777778,11.11111111111111,0.0,34.11111111111111
8,8,66.66666666666666,11.11111111111111,22.22222222222222,0.07111111111111111,68.33333333333333,517,98,2,283,57.44444444444444,10.888888888888888,0.2222222222222222,31.444444444444446
9,9,66.66666666666666,11.11111111111111,22.22222222222222,0.07111111111111111,66.11111111111111,498,97,3,302,55.333333333333336,10.777777777777779,0.33333333333333337,33.55555555555556
10,10,66.66666666666666,11.11111111111111,22.22222222222222,0.07111111111111111,65.33333333333333,488,100,0,312,54.22222222222223,11.11111111111111,0.0,34.66666666666667
11,11,66.66666666666666,11.11111111111111,22.22222222222222,0.07111111111111111,68.55555555555556,517,100,0,283,57.44444444444444,11.11111111111111,0.0,31.444444444444446
12,12,66.66666666666666,11.11111111111111,22.22222222222222,0.07111111111111111,67.88888888888889,513,98,2,287,56.99999999999999,10.888888888888888,0.2222222222222222,31.88888888888889
13,13,66.66666666666666,11.11111111111111,22.22222222222222,0.07111111111111111,66.22222222222223,497,99,1,303,55.222222222222214,11.0,0.1111111111111111,33.666666666666664
14,14,66.66666666666666,11.11111111111111,22.22222222222222,0.07111111111111111,65.77777777777779,495,97,3,305,55.00000000000001,10.777777777777779,0.33333333333333337,33.88888888888889
15,15,66.66666666666666,11.11111111111111,22.22222222222222,0.07111111111111111,66.11111111111111,495,100,0,305,55.00000000000001,11.11111111111111,0.0,33.88888888888889
16,16,66.66666666666666,11.11111111111111,22.22222222222222,0.07111111111111111,67.33333333333333,507,99,1,293,56.333333333333336,11.0,0.1111111111111111,32.55555555555556
17,17,66.66666666666666,11.11111111111111,22.22222222222222,0.07111111111111111,66.88888888888889,502,100,0,298,55.77777777777778,11.11111111111111,0.0,33.111111111111114
18,18,66.66666666666666,11.11111111111111,22.22222222222222,0.07111111111111111,66.77777777777779,502,99,1,298,55.77777777777778,11.0,0.1111111111111111,33.111111111111114
19,19,66.66666666666666,11.11111111111111,22.22222222222222,0.07111111111111111,66.55555555555556,500,99,1,300,55.55555555555556,11.0,0.1111111111111111,33.33333333333333
20,20,66.66666666666666,11.11111111111111,22.22222222222222,0.07111111111111111,70.22222222222221,533,99,1,267,59.22222222222222,11.0,0.1111111111111111,29.666666666666668
21,21,66.66666666666666,11.11111111111111,22.22222222222222,0.07111111111111111,68.88888888888889,523,97,3,277,58.111111111111114,10.777777777777779,0.33333333333333337,30.777777777777775
