,Unnamed: 0,Simulation number,Percent of coerced cars,Percent of lying cars,Percent of honest cars,Density,Accuracy,True Positives,True Negatives,False Positives,False Negatives,Percent True Positives,Percent True Negatives,Percent False Positives,Percent False Negatives
0,0,0,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,59.0,255,99,1,245,42.5,16.5,0.1666666666666666,40.833333333333336
1,1,1,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,58.16666666666666,249,100,0,251,41.5,16.666666666666664,0.0,41.833333333333336
2,2,2,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,58.333333333333336,253,97,3,247,42.16666666666667,16.166666666666664,0.5,41.16666666666667
3,3,3,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,56.49999999999999,239,100,0,261,39.83333333333333,16.666666666666664,0.0,43.5
4,4,4,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,54.66666666666666,228,100,0,272,38.0,16.666666666666664,0.0,45.33333333333333
5,5,5,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,56.00000000000001,238,98,2,262,39.66666666666666,16.333333333333332,0.3333333333333333,43.66666666666666
6,6,6,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,55.66666666666666,234,100,0,266,39.0,16.666666666666664,0.0,44.333333333333336
7,7,7,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,56.16666666666666,237,100,0,263,39.5,16.666666666666664,0.0,43.833333333333336
8,8,8,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,59.16666666666666,258,97,3,242,43.0,16.166666666666664,0.5,40.33333333333333
9,9,9,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,59.333333333333336,257,99,1,243,42.833333333333336,16.5,0.1666666666666666,40.5
10,10,10,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,57.833333333333336,248,99,1,252,41.333333333333336,16.5,0.1666666666666666,42.0
11,11,11,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,54.833333333333336,230,99,1,270,38.333333333333336,16.5,0.1666666666666666,45.0
12,12,12,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,57.49999999999999,245,100,0,255,40.833333333333336,16.666666666666664,0.0,42.5
13,13,13,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,55.50000000000001,234,99,1,266,39.0,16.5,0.1666666666666666,44.333333333333336
14,14,14,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,57.833333333333336,247,100,0,253,41.16666666666667,16.666666666666664,0.0,42.16666666666667
15,15,15,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,56.99999999999999,242,100,0,258,40.33333333333333,16.666666666666664,0.0,43.0
16,16,16,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,56.66666666666666,242,98,2,258,40.33333333333333,16.333333333333332,0.3333333333333333,43.0
17,17,17,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,54.333333333333336,227,99,1,273,37.833333333333336,16.5,0.1666666666666666,45.5
18,18,18,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,56.833333333333336,242,99,1,258,40.33333333333333,16.5,0.1666666666666666,43.0
19,19,19,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,54.333333333333336,226,100,0,274,37.66666666666666,16.666666666666664,0.0,45.66666666666666
20,20,20,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,59.5,257,100,0,243,42.833333333333336,16.666666666666664,0.0,40.5
21,21,21,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,54.0,225,99,1,275,37.5,16.5,0.1666666666666666,45.83333333333333
22,22,22,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,55.833333333333336,237,98,2,263,39.5,16.333333333333332,0.3333333333333333,43.833333333333336
23,23,23,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,59.0,254,100,0,246,42.333333333333336,16.666666666666664,0.0,41.0
24,24,24,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,59.833333333333336,260,99,1,240,43.333333333333336,16.5,0.1666666666666666,40.0
25,25,25,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,59.16666666666666,257,98,2,243,42.833333333333336,16.333333333333332,0.3333333333333333,40.5
26,26,26,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,57.16666666666666,246,97,3,254,41.0,16.166666666666664,0.5,42.333333333333336
27,27,27,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,57.833333333333336,248,99,1,252,41.333333333333336,16.5,0.1666666666666666,42.0
28,28,28,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,57.833333333333336,247,100,0,253,41.16666666666667,16.666666666666664,0.0,42.16666666666667
29,29,29,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,59.0,256,98,2,244,42.66666666666667,16.333333333333332,0.3333333333333333,40.66666666666666
30,30,30,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,59.333333333333336,256,100,0,244,42.66666666666667,16.666666666666664,0.0,40.66666666666666
31,31,31,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,62.33333333333333,274,100,0,226,45.66666666666666,16.666666666666664,0.0,37.66666666666666
32,32,32,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,56.99999999999999,243,99,1,257,40.5,16.5,0.1666666666666666,42.833333333333336
33,33,33,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,59.0,255,99,1,245,42.5,16.5,0.1666666666666666,40.833333333333336
34,34,34,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,55.333333333333336,233,99,1,267,38.83333333333333,16.5,0.1666666666666666,44.5
35,35,35,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,61.83333333333333,271,100,0,229,45.16666666666666,16.666666666666664,0.0,38.16666666666666
36,36,36,50.0,16.666666666666664,33.33333333333333,0.1066666666666666,55.16666666666666,231,100,0,269,38.5,16.666666666666664,0.0,44.83333333333333
