,Simulation number,Percent of coerced cars,Percent of lying cars,Percent of honest cars,Density,Accuracy,True Positives,True Negatives,False Positives,False Negatives,Percent True Positives,Percent True Negatives,Percent False Positives,Percent False Negatives
0,0,40.0,20.0,40.0,0.128,55.2,179,97,3,221,35.8,19.400000000000002,0.6,44.2
1,1,40.0,20.0,40.0,0.128,57.199999999999996,186,100,0,214,37.2,20.0,0.0,42.8
2,2,40.0,20.0,40.0,0.128,57.599999999999994,189,99,1,211,37.8,19.8,0.2,42.199999999999996
3,3,40.0,20.0,40.0,0.128,55.400000000000006,179,98,2,221,35.8,19.6,0.4,44.2
4,4,40.0,20.0,40.0,0.128,53.800000000000004,171,98,2,229,34.2,19.6,0.4,45.800000000000004
5,5,40.0,20.0,40.0,0.128,53.400000000000006,168,99,1,232,33.6,19.8,0.2,46.400000000000006
6,6,40.0,20.0,40.0,0.128,50.0,150,100,0,250,30.0,20.0,0.0,50.0
7,7,40.0,20.0,40.0,0.128,51.2,157,99,1,243,31.4,19.8,0.2,48.6
8,8,40.0,20.0,40.0,0.128,55.2,176,100,0,224,35.199999999999996,20.0,0.0,44.800000000000004
9,9,40.0,20.0,40.0,0.128,54.6,174,99,1,226,34.8,19.8,0.2,45.2
10,10,40.0,20.0,40.0,0.128,56.99999999999999,185,100,0,215,37.0,20.0,0.0,43.0
11,11,40.0,20.0,40.0,0.128,56.2,181,100,0,219,36.199999999999996,20.0,0.0,43.8
12,12,40.0,20.0,40.0,0.128,52.6,163,100,0,237,32.6,20.0,0.0,47.4
13,13,40.0,20.0,40.0,0.128,52.400000000000006,162,100,0,238,32.4,20.0,0.0,47.599999999999994
14,14,40.0,20.0,40.0,0.128,53.2,166,100,0,234,33.2,20.0,0.0,46.800000000000004
15,15,40.0,20.0,40.0,0.128,52.0,160,100,0,240,32.0,20.0,0.0,48.0
16,16,40.0,20.0,40.0,0.128,58.599999999999994,193,100,0,207,38.6,20.0,0.0,41.4
17,17,40.0,20.0,40.0,0.128,55.400000000000006,177,100,0,223,35.4,20.0,0.0,44.6
18,18,40.0,20.0,40.0,0.128,55.00000000000001,175,100,0,225,35.0,20.0,0.0,45.0
19,19,40.0,20.0,40.0,0.128,53.400000000000006,168,99,1,232,33.6,19.8,0.2,46.400000000000006
20,20,40.0,20.0,40.0,0.128,50.4,153,99,1,247,30.599999999999998,19.8,0.2,49.4
21,21,40.0,20.0,40.0,0.128,56.00000000000001,181,99,1,219,36.199999999999996,19.8,0.2,43.8
22,22,40.0,20.0,40.0,0.128,51.6,158,100,0,242,31.6,20.0,0.0,48.4
23,23,40.0,20.0,40.0,0.128,51.6,158,100,0,242,31.6,20.0,0.0,48.4
24,24,40.0,20.0,40.0,0.128,56.2,181,100,0,219,36.199999999999996,20.0,0.0,43.8
25,25,40.0,20.0,40.0,0.128,48.0,141,99,1,259,28.199999999999996,19.8,0.2,51.800000000000004
26,26,40.0,20.0,40.0,0.128,56.39999999999999,182,100,0,218,36.4,20.0,0.0,43.6
27,27,40.0,20.0,40.0,0.128,54.0,171,99,1,229,34.2,19.8,0.2,45.800000000000004
28,28,40.0,20.0,40.0,0.128,55.800000000000004,179,100,0,221,35.8,20.0,0.0,44.2
29,29,40.0,20.0,40.0,0.128,55.2,176,100,0,224,35.199999999999996,20.0,0.0,44.800000000000004
30,30,40.0,20.0,40.0,0.128,51.2,156,100,0,244,31.2,20.0,0.0,48.8
31,31,40.0,20.0,40.0,0.128,56.39999999999999,183,99,1,217,36.6,19.8,0.2,43.4
32,32,40.0,20.0,40.0,0.128,59.599999999999994,198,100,0,202,39.6,20.0,0.0,40.400000000000006
33,33,40.0,20.0,40.0,0.128,51.2,156,100,0,244,31.2,20.0,0.0,48.8
34,34,40.0,20.0,40.0,0.128,53.800000000000004,170,99,1,230,34.0,19.8,0.2,46.0
35,35,40.0,20.0,40.0,0.128,52.6,164,99,1,236,32.800000000000004,19.8,0.2,47.199999999999996
36,36,40.0,20.0,40.0,0.128,54.2,172,99,1,228,34.4,19.8,0.2,45.6
37,37,40.0,20.0,40.0,0.128,51.800000000000004,161,98,2,239,32.2,19.6,0.4,47.8
38,38,40.0,20.0,40.0,0.128,55.60000000000001,178,100,0,222,35.6,20.0,0.0,44.4
39,39,40.0,20.0,40.0,0.128,55.00000000000001,175,100,0,225,35.0,20.0,0.0,45.0
40,40,40.0,20.0,40.0,0.128,50.2,151,100,0,249,30.2,20.0,0.0,49.8
41,41,40.0,20.0,40.0,0.128,56.99999999999999,186,99,1,214,37.2,19.8,0.2,42.8
42,42,40.0,20.0,40.0,0.128,55.00000000000001,177,98,2,223,35.4,19.6,0.4,44.6
43,43,40.0,20.0,40.0,0.128,52.400000000000006,163,99,1,237,32.6,19.8,0.2,47.4
44,44,40.0,20.0,40.0,0.128,56.99999999999999,185,100,0,215,37.0,20.0,0.0,43.0
45,45,40.0,20.0,40.0,0.128,50.8,156,98,2,244,31.2,19.6,0.4,48.8
46,46,40.0,20.0,40.0,0.128,59.199999999999996,197,99,1,203,39.4,19.8,0.2,40.6
47,47,40.0,20.0,40.0,0.128,55.2,176,100,0,224,35.199999999999996,20.0,0.0,44.800000000000004
48,48,40.0,20.0,40.0,0.128,54.2,172,99,1,228,34.4,19.8,0.2,45.6
49,49,40.0,20.0,40.0,0.128,54.2,171,100,0,229,34.2,20.0,0.0,45.800000000000004
50,50,40.0,20.0,40.0,0.128,56.8,184,100,0,216,36.8,20.0,0.0,43.2
51,51,40.0,20.0,40.0,0.128,53.800000000000004,169,100,0,231,33.800000000000004,20.0,0.0,46.2
52,52,40.0,20.0,40.0,0.128,52.800000000000004,165,99,1,235,33.0,19.8,0.2,47.0
53,53,40.0,20.0,40.0,0.128,54.0,173,97,3,227,34.599999999999994,19.400000000000002,0.6,45.4
54,54,40.0,20.0,40.0,0.128,55.60000000000001,178,100,0,222,35.6,20.0,0.0,44.4
55,55,40.0,20.0,40.0,0.128,51.800000000000004,160,99,1,240,32.0,19.8,0.2,48.0
56,56,40.0,20.0,40.0,0.128,57.8,190,99,1,210,38.0,19.8,0.2,42.0
57,57,40.0,20.0,40.0,0.128,53.400000000000006,168,99,1,232,33.6,19.8,0.2,46.400000000000006
58,58,40.0,20.0,40.0,0.128,51.2,156,100,0,244,31.2,20.0,0.0,48.8
59,59,40.0,20.0,40.0,0.128,56.39999999999999,182,100,0,218,36.4,20.0,0.0,43.6
60,60,40.0,20.0,40.0,0.128,58.599999999999994,193,100,0,207,38.6,20.0,0.0,41.4
61,61,40.0,20.0,40.0,0.128,59.0,197,98,2,203,39.4,19.6,0.4,40.6
62,62,40.0,20.0,40.0,0.128,54.6,175,98,2,225,35.0,19.6,0.4,45.0
63,63,40.0,20.0,40.0,0.128,54.2,171,100,0,229,34.2,20.0,0.0,45.800000000000004
64,64,40.0,20.0,40.0,0.128,61.6,208,100,0,192,41.6,20.0,0.0,38.4
65,65,40.0,20.0,40.0,0.128,52.400000000000006,162,100,0,238,32.4,20.0,0.0,47.599999999999994
66,66,40.0,20.0,40.0,0.128,55.2,179,97,3,221,35.8,19.400000000000002,0.6,44.2
67,67,40.0,20.0,40.0,0.128,50.4,154,98,2,246,30.8,19.6,0.4,49.2
68,68,40.0,20.0,40.0,0.128,51.800000000000004,160,99,1,240,32.0,19.8,0.2,48.0
69,69,40.0,20.0,40.0,0.128,54.400000000000006,172,100,0,228,34.4,20.0,0.0,45.6
70,70,40.0,20.0,40.0,0.128,50.6,153,100,0,247,30.599999999999998,20.0,0.0,49.4
71,71,40.0,20.0,40.0,0.128,53.0,166,99,1,234,33.2,19.8,0.2,46.800000000000004
72,72,40.0,20.0,40.0,0.128,56.39999999999999,183,99,1,217,36.6,19.8,0.2,43.4
73,73,40.0,20.0,40.0,0.128,52.400000000000006,162,100,0,238,32.4,20.0,0.0,47.599999999999994
74,74,40.0,20.0,40.0,0.128,55.400000000000006,178,99,1,222,35.6,19.8,0.2,44.4
75,75,40.0,20.0,40.0,0.128,52.0,162,98,2,238,32.4,19.6,0.4,47.599999999999994
76,76,40.0,20.0,40.0,0.128,56.99999999999999,188,97,3,212,37.6,19.400000000000002,0.6,42.4
77,77,40.0,20.0,40.0,0.128,54.400000000000006,173,99,1,227,34.599999999999994,19.8,0.2,45.4
78,78,40.0,20.0,40.0,0.128,61.199999999999996,206,100,0,194,41.199999999999996,20.0,0.0,38.800000000000004
79,79,40.0,20.0,40.0,0.128,49.0,146,99,1,254,29.2,19.8,0.2,50.8
80,80,40.0,20.0,40.0,0.128,52.2,162,99,1,238,32.4,19.8,0.2,47.599999999999994
81,81,40.0,20.0,40.0,0.128,52.6,164,99,1,236,32.800000000000004,19.8,0.2,47.199999999999996
82,82,40.0,20.0,40.0,0.128,56.99999999999999,186,99,1,214,37.2,19.8,0.2,42.8
83,83,40.0,20.0,40.0,0.128,56.599999999999994,184,99,1,216,36.8,19.8,0.2,43.2
84,84,40.0,20.0,40.0,0.128,54.2,172,99,1,228,34.4,19.8,0.2,45.6
85,85,40.0,20.0,40.0,0.128,57.4,189,98,2,211,37.8,19.6,0.4,42.199999999999996
86,86,40.0,20.0,40.0,0.128,56.39999999999999,182,100,0,218,36.4,20.0,0.0,43.6
87,87,40.0,20.0,40.0,0.128,53.0,165,100,0,235,33.0,20.0,0.0,47.0
88,88,40.0,20.0,40.0,0.128,58.8,195,99,1,205,39.0,19.8,0.2,41.0
89,89,40.0,20.0,40.0,0.128,53.400000000000006,167,100,0,233,33.4,20.0,0.0,46.6
90,90,40.0,20.0,40.0,0.128,54.2,172,99,1,228,34.4,19.8,0.2,45.6
91,91,40.0,20.0,40.0,0.128,51.800000000000004,159,100,0,241,31.8,20.0,0.0,48.199999999999996
92,92,40.0,20.0,40.0,0.128,53.800000000000004,170,99,1,230,34.0,19.8,0.2,46.0
93,93,40.0,20.0,40.0,0.128,54.0,172,98,2,228,34.4,19.6,0.4,45.6
94,94,40.0,20.0,40.0,0.128,54.6,173,100,0,227,34.599999999999994,20.0,0.0,45.4
95,95,40.0,20.0,40.0,0.128,56.39999999999999,183,99,1,217,36.6,19.8,0.2,43.4
96,96,40.0,20.0,40.0,0.128,52.800000000000004,165,99,1,235,33.0,19.8,0.2,47.0
97,97,40.0,20.0,40.0,0.128,53.800000000000004,169,100,0,231,33.800000000000004,20.0,0.0,46.2
98,98,40.0,20.0,40.0,0.128,53.400000000000006,168,99,1,232,33.6,19.8,0.2,46.400000000000006
99,99,40.0,20.0,40.0,0.128,51.0,156,99,1,244,31.2,19.8,0.2,48.8
