,Simulation number,Percent of coerced cars,Percent of lying cars,Percent of honest cars,Density,Accuracy,True Positives,True Negatives,False Positives,False Negatives,Percent True Positives,Percent True Negatives,Percent False Positives,Percent False Negatives
0,0,70.0,10.0,20.0,0.064,70.89999999999999,610,99,1,290,61.0,9.9,0.1,28.999999999999996
1,1,70.0,10.0,20.0,0.064,69.3,594,99,1,306,59.4,9.9,0.1,30.599999999999998
2,2,70.0,10.0,20.0,0.064,69.0,590,100,0,310,59.0,10.0,0.0,31.0
3,3,70.0,10.0,20.0,0.064,67.0,570,100,0,330,56.99999999999999,10.0,0.0,33.0
4,4,70.0,10.0,20.0,0.064,69.39999999999999,596,98,2,304,59.599999999999994,9.8,0.2,30.4
5,5,70.0,10.0,20.0,0.064,68.10000000000001,582,99,1,318,58.199999999999996,9.9,0.1,31.8
6,6,70.0,10.0,20.0,0.064,68.30000000000001,584,99,1,316,58.4,9.9,0.1,31.6
7,7,70.0,10.0,20.0,0.064,70.6,610,96,4,290,61.0,9.6,0.4,28.999999999999996
8,8,70.0,10.0,20.0,0.064,67.5,576,99,1,324,57.599999999999994,9.9,0.1,32.4
9,9,70.0,10.0,20.0,0.064,68.4,586,98,2,314,58.599999999999994,9.8,0.2,31.4
10,10,70.0,10.0,20.0,0.064,69.0,592,98,2,308,59.199999999999996,9.8,0.2,30.8
11,11,70.0,10.0,20.0,0.064,68.60000000000001,586,100,0,314,58.599999999999994,10.0,0.0,31.4
12,12,70.0,10.0,20.0,0.064,70.19999999999999,603,99,1,297,60.3,9.9,0.1,29.7
13,13,70.0,10.0,20.0,0.064,70.1,602,99,1,298,60.199999999999996,9.9,0.1,29.799999999999997
14,14,70.0,10.0,20.0,0.064,70.5,605,100,0,295,60.5,10.0,0.0,29.5
15,15,70.0,10.0,20.0,0.064,67.60000000000001,578,98,2,322,57.8,9.8,0.2,32.2
16,16,70.0,10.0,20.0,0.064,69.6,597,99,1,303,59.699999999999996,9.9,0.1,30.3
17,17,70.0,10.0,20.0,0.064,68.60000000000001,588,98,2,312,58.8,9.8,0.2,31.2
18,18,70.0,10.0,20.0,0.064,70.3,603,100,0,297,60.3,10.0,0.0,29.7
19,19,70.0,10.0,20.0,0.064,69.69999999999999,597,100,0,303,59.699999999999996,10.0,0.0,30.3
20,20,70.0,10.0,20.0,0.064,70.7,607,100,0,293,60.699999999999996,10.0,0.0,29.299999999999997
21,21,70.0,10.0,20.0,0.064,71.39999999999999,616,98,2,284,61.6,9.8,0.2,28.4
22,22,70.0,10.0,20.0,0.064,68.0,580,100,0,320,57.99999999999999,10.0,0.0,32.0
23,23,70.0,10.0,20.0,0.064,69.0,590,100,0,310,59.0,10.0,0.0,31.0
24,24,70.0,10.0,20.0,0.064,68.5,586,99,1,314,58.599999999999994,9.9,0.1,31.4
25,25,70.0,10.0,20.0,0.064,70.3,604,99,1,296,60.4,9.9,0.1,29.599999999999998
26,26,70.0,10.0,20.0,0.064,70.3,604,99,1,296,60.4,9.9,0.1,29.599999999999998
27,27,70.0,10.0,20.0,0.064,71.2,614,98,2,286,61.4,9.8,0.2,28.599999999999998
28,28,70.0,10.0,20.0,0.064,68.8,588,100,0,312,58.8,10.0,0.0,31.2
29,29,70.0,10.0,20.0,0.064,70.89999999999999,609,100,0,291,60.9,10.0,0.0,29.099999999999998
30,30,70.0,10.0,20.0,0.064,68.8,588,100,0,312,58.8,10.0,0.0,31.2
31,31,70.0,10.0,20.0,0.064,69.89999999999999,599,100,0,301,59.9,10.0,0.0,30.099999999999998
32,32,70.0,10.0,20.0,0.064,69.39999999999999,596,98,2,304,59.599999999999994,9.8,0.2,30.4
33,33,70.0,10.0,20.0,0.064,68.4,585,99,1,315,58.5,9.9,0.1,31.5
34,34,70.0,10.0,20.0,0.064,70.19999999999999,604,98,2,296,60.4,9.8,0.2,29.599999999999998
35,35,70.0,10.0,20.0,0.064,67.7,578,99,1,322,57.8,9.9,0.1,32.2
36,36,70.0,10.0,20.0,0.064,70.39999999999999,606,98,2,294,60.6,9.8,0.2,29.4
37,37,70.0,10.0,20.0,0.064,70.3,604,99,1,296,60.4,9.9,0.1,29.599999999999998
38,38,70.0,10.0,20.0,0.064,67.7,580,97,3,320,57.99999999999999,9.700000000000001,0.3,32.0
39,39,70.0,10.0,20.0,0.064,69.19999999999999,595,97,3,305,59.5,9.700000000000001,0.3,30.5
40,40,70.0,10.0,20.0,0.064,73.0,631,99,1,269,63.1,9.9,0.1,26.900000000000002
41,41,70.0,10.0,20.0,0.064,71.2,612,100,0,288,61.199999999999996,10.0,0.0,28.799999999999997
42,42,70.0,10.0,20.0,0.064,70.39999999999999,605,99,1,295,60.5,9.9,0.1,29.5
43,43,70.0,10.0,20.0,0.064,68.60000000000001,587,99,1,313,58.699999999999996,9.9,0.1,31.3
44,44,70.0,10.0,20.0,0.064,70.3,604,99,1,296,60.4,9.9,0.1,29.599999999999998
45,45,70.0,10.0,20.0,0.064,71.2,615,97,3,285,61.5,9.700000000000001,0.3,28.499999999999996
46,46,70.0,10.0,20.0,0.064,68.60000000000001,587,99,1,313,58.699999999999996,9.9,0.1,31.3
47,47,70.0,10.0,20.0,0.064,71.6,616,100,0,284,61.6,10.0,0.0,28.4
48,48,70.0,10.0,20.0,0.064,70.19999999999999,603,99,1,297,60.3,9.9,0.1,29.7
49,49,70.0,10.0,20.0,0.064,69.3,596,97,3,304,59.599999999999994,9.700000000000001,0.3,30.4
50,50,70.0,10.0,20.0,0.064,67.7,579,98,2,321,57.9,9.8,0.2,32.1
51,51,70.0,10.0,20.0,0.064,68.10000000000001,582,99,1,318,58.199999999999996,9.9,0.1,31.8
52,52,70.0,10.0,20.0,0.064,72.0,620,100,0,280,62.0,10.0,0.0,28.000000000000004
