,Simulation number,Percent of coerced cars,Percent of lying cars,Percent of honest cars,Density,Accuracy,True Positives,True Negatives,False Positives,False Negatives,Percent True Positives,Percent True Negatives,Percent False Positives,Percent False Negatives
0,0,62.5,12.5,25.0,0.08,67.0,437,99,1,263,54.625,12.375,0.125,32.875
1,1,62.5,12.5,25.0,0.08,65.25,423,99,1,277,52.87500000000001,12.375,0.125,34.625
2,2,62.5,12.5,25.0,0.08,63.5,408,100,0,292,51.0,12.5,0.0,36.5
3,3,62.5,12.5,25.0,0.08,67.125,437,100,0,263,54.625,12.5,0.0,32.875
4,4,62.5,12.5,25.0,0.08,64.25,416,98,2,284,52.0,12.25,0.25,35.5
5,5,62.5,12.5,25.0,0.08,64.25,414,100,0,286,51.74999999999999,12.5,0.0,35.75
6,6,62.5,12.5,25.0,0.08,66.125,431,98,2,269,53.87499999999999,12.25,0.25,33.625
7,7,62.5,12.5,25.0,0.08,64.5,417,99,1,283,52.125,12.375,0.125,35.375
8,8,62.5,12.5,25.0,0.08,63.5,408,100,0,292,51.0,12.5,0.0,36.5
9,9,62.5,12.5,25.0,0.08,63.0,405,99,1,295,50.625,12.375,0.125,36.875
10,10,62.5,12.5,25.0,0.08,64.0,413,99,1,287,51.625,12.375,0.125,35.875
11,11,62.5,12.5,25.0,0.08,62.74999999999999,403,99,1,297,50.375,12.375,0.125,37.125
12,12,62.5,12.5,25.0,0.08,61.375,392,99,1,308,49.0,12.375,0.125,38.5
13,13,62.5,12.5,25.0,0.08,62.0,397,99,1,303,49.625,12.375,0.125,37.875
14,14,62.5,12.5,25.0,0.08,65.375,423,100,0,277,52.87500000000001,12.5,0.0,34.625
15,15,62.5,12.5,25.0,0.08,63.87500000000001,411,100,0,289,51.37500000000001,12.5,0.0,36.125
16,16,62.5,12.5,25.0,0.08,63.24999999999999,408,98,2,292,51.0,12.25,0.25,36.5
17,17,62.5,12.5,25.0,0.08,63.625,410,99,1,290,51.24999999999999,12.375,0.125,36.25
18,18,62.5,12.5,25.0,0.08,66.375,431,100,0,269,53.87499999999999,12.5,0.0,33.625
19,19,62.5,12.5,25.0,0.08,66.875,436,99,1,264,54.50000000000001,12.375,0.125,33.0
20,20,62.5,12.5,25.0,0.08,64.5,418,98,2,282,52.25,12.25,0.25,35.25
21,21,62.5,12.5,25.0,0.08,65.125,423,98,2,277,52.87500000000001,12.25,0.25,34.625
22,22,62.5,12.5,25.0,0.08,65.5,426,98,2,274,53.25,12.25,0.25,34.25
23,23,62.5,12.5,25.0,0.08,63.625,409,100,0,291,51.125,12.5,0.0,36.375
24,24,62.5,12.5,25.0,0.08,65.125,421,100,0,279,52.625,12.5,0.0,34.875
25,25,62.5,12.5,25.0,0.08,63.625,409,100,0,291,51.125,12.5,0.0,36.375
26,26,62.5,12.5,25.0,0.08,61.375,391,100,0,309,48.875,12.5,0.0,38.625
27,27,62.5,12.5,25.0,0.08,66.0,429,99,1,271,53.625,12.375,0.125,33.875
28,28,62.5,12.5,25.0,0.08,68.5,449,99,1,251,56.125,12.375,0.125,31.374999999999996
29,29,62.5,12.5,25.0,0.08,68.0,446,98,2,254,55.75,12.25,0.25,31.75
30,30,62.5,12.5,25.0,0.08,65.375,423,100,0,277,52.87500000000001,12.5,0.0,34.625
31,31,62.5,12.5,25.0,0.08,62.74999999999999,403,99,1,297,50.375,12.375,0.125,37.125
32,32,62.5,12.5,25.0,0.08,63.24999999999999,407,99,1,293,50.875,12.375,0.125,36.625
33,33,62.5,12.5,25.0,0.08,62.5,400,100,0,300,50.0,12.5,0.0,37.5
34,34,62.5,12.5,25.0,0.08,64.625,417,100,0,283,52.125,12.5,0.0,35.375
35,35,62.5,12.5,25.0,0.08,65.5,425,99,1,275,53.125,12.375,0.125,34.375
36,36,62.5,12.5,25.0,0.08,64.5,416,100,0,284,52.0,12.5,0.0,35.5
37,37,62.5,12.5,25.0,0.08,64.125,414,99,1,286,51.74999999999999,12.375,0.125,35.75
38,38,62.5,12.5,25.0,0.08,62.625,401,100,0,299,50.125,12.5,0.0,37.375
39,39,62.5,12.5,25.0,0.08,60.75000000000001,386,100,0,314,48.25,12.5,0.0,39.25
40,40,62.5,12.5,25.0,0.08,66.5,433,99,1,267,54.125,12.375,0.125,33.375
41,41,62.5,12.5,25.0,0.08,64.5,417,99,1,283,52.125,12.375,0.125,35.375
42,42,62.5,12.5,25.0,0.08,61.25000000000001,391,99,1,309,48.875,12.375,0.125,38.625
43,43,62.5,12.5,25.0,0.08,65.625,425,100,0,275,53.125,12.5,0.0,34.375
44,44,62.5,12.5,25.0,0.08,61.75000000000001,395,99,1,305,49.375,12.375,0.125,38.125
45,45,62.5,12.5,25.0,0.08,65.375,424,99,1,276,53.0,12.375,0.125,34.5
46,46,62.5,12.5,25.0,0.08,63.5,410,98,2,290,51.24999999999999,12.25,0.25,36.25
47,47,62.5,12.5,25.0,0.08,65.75,427,99,1,273,53.37499999999999,12.375,0.125,34.125
48,48,62.5,12.5,25.0,0.08,64.375,416,99,1,284,52.0,12.375,0.125,35.5
49,49,62.5,12.5,25.0,0.08,63.74999999999999,412,98,2,288,51.5,12.25,0.25,36.0
50,50,62.5,12.5,25.0,0.08,66.125,430,99,1,270,53.75,12.375,0.125,33.75
51,51,62.5,12.5,25.0,0.08,65.5,424,100,0,276,53.0,12.5,0.0,34.5
52,52,62.5,12.5,25.0,0.08,65.625,426,99,1,274,53.25,12.375,0.125,34.25
53,53,62.5,12.5,25.0,0.08,62.375,402,97,3,298,50.24999999999999,12.125,0.375,37.25
54,54,62.5,12.5,25.0,0.08,64.0,414,98,2,286,51.74999999999999,12.25,0.25,35.75
55,55,62.5,12.5,25.0,0.08,66.375,432,99,1,268,54.0,12.375,0.125,33.5
56,56,62.5,12.5,25.0,0.08,65.125,423,98,2,277,52.87500000000001,12.25,0.25,34.625
57,57,62.5,12.5,25.0,0.08,64.75,418,100,0,282,52.25,12.5,0.0,35.25
58,58,62.5,12.5,25.0,0.08,64.625,419,98,2,281,52.37500000000001,12.25,0.25,35.125
59,59,62.5,12.5,25.0,0.08,64.0,412,100,0,288,51.5,12.5,0.0,36.0
60,60,62.5,12.5,25.0,0.08,65.75,427,99,1,273,53.37499999999999,12.375,0.125,34.125
61,61,62.5,12.5,25.0,0.08,63.125,407,98,2,293,50.875,12.25,0.25,36.625
62,62,62.5,12.5,25.0,0.08,66.375,432,99,1,268,54.0,12.375,0.125,33.5
63,63,62.5,12.5,25.0,0.08,64.875,419,100,0,281,52.37500000000001,12.5,0.0,35.125
64,64,62.5,12.5,25.0,0.08,64.5,417,99,1,283,52.125,12.375,0.125,35.375
65,65,62.5,12.5,25.0,0.08,63.87500000000001,414,97,3,286,51.74999999999999,12.125,0.375,35.75
66,66,62.5,12.5,25.0,0.08,65.5,424,100,0,276,53.0,12.5,0.0,34.5
67,67,62.5,12.5,25.0,0.08,66.5,433,99,1,267,54.125,12.375,0.125,33.375
68,68,62.5,12.5,25.0,0.08,66.375,432,99,1,268,54.0,12.375,0.125,33.5
69,69,62.5,12.5,25.0,0.08,65.5,424,100,0,276,53.0,12.5,0.0,34.5
70,70,62.5,12.5,25.0,0.08,65.625,426,99,1,274,53.25,12.375,0.125,34.25
71,71,62.5,12.5,25.0,0.08,66.875,436,99,1,264,54.50000000000001,12.375,0.125,33.0
72,72,62.5,12.5,25.0,0.08,67.5,441,99,1,259,55.125,12.375,0.125,32.375
73,73,62.5,12.5,25.0,0.08,63.625,412,97,3,288,51.5,12.125,0.375,36.0
74,74,62.5,12.5,25.0,0.08,66.125,429,100,0,271,53.625,12.5,0.0,33.875
75,75,62.5,12.5,25.0,0.08,64.5,416,100,0,284,52.0,12.5,0.0,35.5
76,76,62.5,12.5,25.0,0.08,67.25,439,99,1,261,54.87499999999999,12.375,0.125,32.625
77,77,62.5,12.5,25.0,0.08,66.0,428,100,0,272,53.5,12.5,0.0,34.0
78,78,62.5,12.5,25.0,0.08,63.625,411,98,2,289,51.37500000000001,12.25,0.25,36.125
79,79,62.5,12.5,25.0,0.08,62.375,400,99,1,300,50.0,12.375,0.125,37.5
80,80,62.5,12.5,25.0,0.08,65.375,424,99,1,276,53.0,12.375,0.125,34.5
81,81,62.5,12.5,25.0,0.08,65.375,425,98,2,275,53.125,12.25,0.25,34.375
82,82,62.5,12.5,25.0,0.08,64.75,418,100,0,282,52.25,12.5,0.0,35.25
83,83,62.5,12.5,25.0,0.08,68.0,447,97,3,253,55.875,12.125,0.375,31.624999999999996
84,84,62.5,12.5,25.0,0.08,63.375,407,100,0,293,50.875,12.5,0.0,36.625
85,85,62.5,12.5,25.0,0.08,61.12499999999999,389,100,0,311,48.625,12.5,0.0,38.875
86,86,62.5,12.5,25.0,0.08,65.75,429,97,3,271,53.625,12.125,0.375,33.875
87,87,62.5,12.5,25.0,0.08,64.875,419,100,0,281,52.37500000000001,12.5,0.0,35.125
88,88,62.5,12.5,25.0,0.08,61.75000000000001,396,98,2,304,49.5,12.25,0.25,38.0
89,89,62.5,12.5,25.0,0.08,66.75,435,99,1,265,54.37499999999999,12.375,0.125,33.125
90,90,62.5,12.5,25.0,0.08,63.5,409,99,1,291,51.125,12.375,0.125,36.375
91,91,62.5,12.5,25.0,0.08,65.25,423,99,1,277,52.87500000000001,12.375,0.125,34.625
92,92,62.5,12.5,25.0,0.08,65.125,421,100,0,279,52.625,12.5,0.0,34.875
93,93,62.5,12.5,25.0,0.08,65.25,422,100,0,278,52.75,12.5,0.0,34.75
94,94,62.5,12.5,25.0,0.08,63.375,410,97,3,290,51.24999999999999,12.125,0.375,36.25
95,95,62.5,12.5,25.0,0.08,64.375,416,99,1,284,52.0,12.375,0.125,35.5
96,96,62.5,12.5,25.0,0.08,61.25000000000001,390,100,0,310,48.75,12.5,0.0,38.75
97,97,62.5,12.5,25.0,0.08,64.375,415,100,0,285,51.87500000000001,12.5,0.0,35.625
98,98,62.5,12.5,25.0,0.08,63.0,406,98,2,294,50.74999999999999,12.25,0.25,36.75
99,99,62.5,12.5,25.0,0.08,61.75000000000001,398,96,4,302,49.75,12.0,0.5,37.75
