,Simulation number,Percent of coerced cars,Percent of lying cars,Percent of honest cars,Density,Accuracy,True Positives,True Negatives,False Positives,False Negatives,Percent True Positives,Percent True Negatives,Percent False Positives,Percent False Negatives
0,0,20.0,10.0,70.0,0.064,71.7,618,99,1,282,61.8,9.9,0.1,28.199999999999996
1,1,20.0,10.0,70.0,0.064,70.1,602,99,1,298,60.199999999999996,9.9,0.1,29.799999999999997
2,2,20.0,10.0,70.0,0.064,67.4,574,100,0,326,57.4,10.0,0.0,32.6
3,3,20.0,10.0,70.0,0.064,69.19999999999999,593,99,1,307,59.3,9.9,0.1,30.7
4,4,20.0,10.0,70.0,0.064,71.39999999999999,616,98,2,284,61.6,9.8,0.2,28.4
5,5,20.0,10.0,70.0,0.064,69.5,597,98,2,303,59.699999999999996,9.8,0.2,30.3
6,6,20.0,10.0,70.0,0.064,71.3,616,97,3,284,61.6,9.700000000000001,0.3,28.4
7,7,20.0,10.0,70.0,0.064,73.0,631,99,1,269,63.1,9.9,0.1,26.900000000000002
8,8,20.0,10.0,70.0,0.064,71.0,611,99,1,289,61.1,9.9,0.1,28.9
9,9,20.0,10.0,70.0,0.064,71.6,618,98,2,282,61.8,9.8,0.2,28.199999999999996
10,10,20.0,10.0,70.0,0.064,68.0,582,98,2,318,58.199999999999996,9.8,0.2,31.8
11,11,20.0,10.0,70.0,0.064,66.7,568,99,1,332,56.8,9.9,0.1,33.2
12,12,20.0,10.0,70.0,0.064,68.8,588,100,0,312,58.8,10.0,0.0,31.2
13,13,20.0,10.0,70.0,0.064,70.0,600,100,0,300,60.0,10.0,0.0,30.0
14,14,20.0,10.0,70.0,0.064,71.1,611,100,0,289,61.1,10.0,0.0,28.9
15,15,20.0,10.0,70.0,0.064,68.7,587,100,0,313,58.699999999999996,10.0,0.0,31.3
16,16,20.0,10.0,70.0,0.064,69.0,590,100,0,310,59.0,10.0,0.0,31.0
17,17,20.0,10.0,70.0,0.064,69.39999999999999,594,100,0,306,59.4,10.0,0.0,30.599999999999998
