,Simulation number,Percent of coerced cars,Percent of lying cars,Percent of honest cars,Density,Accuracy,True Positives,True Negatives,False Positives,False Negatives,Percent True Positives,Percent True Negatives,Percent False Positives,Percent False Negatives
0,0,25.0,12.5,62.5,0.08,62.5,400,100,0,300,50.0,12.5,0.0,37.5
1,1,25.0,12.5,62.5,0.08,66.125,432,97,3,268,54.0,12.125,0.375,33.5
2,2,25.0,12.5,62.5,0.08,66.25,430,100,0,270,53.75,12.5,0.0,33.75
3,3,25.0,12.5,62.5,0.08,63.0,405,99,1,295,50.625,12.375,0.125,36.875
4,4,25.0,12.5,62.5,0.08,63.0,405,99,1,295,50.625,12.375,0.125,36.875
5,5,25.0,12.5,62.5,0.08,64.75,418,100,0,282,52.25,12.5,0.0,35.25
6,6,25.0,12.5,62.5,0.08,64.875,419,100,0,281,52.37500000000001,12.5,0.0,35.125
7,7,25.0,12.5,62.5,0.08,65.5,424,100,0,276,53.0,12.5,0.0,34.5
8,8,25.0,12.5,62.5,0.08,62.74999999999999,403,99,1,297,50.375,12.375,0.125,37.125
9,9,25.0,12.5,62.5,0.08,64.75,419,99,1,281,52.37500000000001,12.375,0.125,35.125
10,10,25.0,12.5,62.5,0.08,65.625,426,99,1,274,53.25,12.375,0.125,34.25
11,11,25.0,12.5,62.5,0.08,62.74999999999999,402,100,0,298,50.24999999999999,12.5,0.0,37.25
12,12,25.0,12.5,62.5,0.08,64.625,419,98,2,281,52.37500000000001,12.25,0.25,35.125
13,13,25.0,12.5,62.5,0.08,65.0,420,100,0,280,52.5,12.5,0.0,35.0
14,14,25.0,12.5,62.5,0.08,64.875,421,98,2,279,52.625,12.25,0.25,34.875
15,15,25.0,12.5,62.5,0.08,62.125,398,99,1,302,49.75,12.375,0.125,37.75
16,16,25.0,12.5,62.5,0.08,64.375,415,100,0,285,51.87500000000001,12.5,0.0,35.625
17,17,25.0,12.5,62.5,0.08,65.875,428,99,1,272,53.5,12.375,0.125,34.0
18,18,25.0,12.5,62.5,0.08,65.875,429,98,2,271,53.625,12.25,0.25,33.875
19,19,25.0,12.5,62.5,0.08,64.375,416,99,1,284,52.0,12.375,0.125,35.5
20,20,25.0,12.5,62.5,0.08,61.875,395,100,0,305,49.375,12.5,0.0,38.125
21,21,25.0,12.5,62.5,0.08,64.375,417,98,2,283,52.125,12.25,0.25,35.375
22,22,25.0,12.5,62.5,0.08,64.875,421,98,2,279,52.625,12.25,0.25,34.875
23,23,25.0,12.5,62.5,0.08,63.5,408,100,0,292,51.0,12.5,0.0,36.5
24,24,25.0,12.5,62.5,0.08,63.125,405,100,0,295,50.625,12.5,0.0,36.875
25,25,25.0,12.5,62.5,0.08,63.375,409,98,2,291,51.125,12.25,0.25,36.375
26,26,25.0,12.5,62.5,0.08,63.125,405,100,0,295,50.625,12.5,0.0,36.875
27,27,25.0,12.5,62.5,0.08,62.74999999999999,403,99,1,297,50.375,12.375,0.125,37.125
28,28,25.0,12.5,62.5,0.08,65.25,424,98,2,276,53.0,12.25,0.25,34.5
29,29,25.0,12.5,62.5,0.08,65.75,429,97,3,271,53.625,12.125,0.375,33.875
30,30,25.0,12.5,62.5,0.08,65.875,427,100,0,273,53.37499999999999,12.5,0.0,34.125
31,31,25.0,12.5,62.5,0.08,64.125,413,100,0,287,51.625,12.5,0.0,35.875
32,32,25.0,12.5,62.5,0.08,65.125,426,95,5,274,53.25,11.875,0.625,34.25
33,33,25.0,12.5,62.5,0.08,67.0,438,98,2,262,54.75,12.25,0.25,32.75
34,34,25.0,12.5,62.5,0.08,66.0,428,100,0,272,53.5,12.5,0.0,34.0
35,35,25.0,12.5,62.5,0.08,64.625,418,99,1,282,52.25,12.375,0.125,35.25
36,36,25.0,12.5,62.5,0.08,62.375,400,99,1,300,50.0,12.375,0.125,37.5
37,37,25.0,12.5,62.5,0.08,63.375,407,100,0,293,50.875,12.5,0.0,36.625
38,38,25.0,12.5,62.5,0.08,64.25,414,100,0,286,51.74999999999999,12.5,0.0,35.75
39,39,25.0,12.5,62.5,0.08,65.0,421,99,1,279,52.625,12.375,0.125,34.875
40,40,25.0,12.5,62.5,0.08,63.5,411,97,3,289,51.37500000000001,12.125,0.375,36.125
41,41,25.0,12.5,62.5,0.08,61.875,396,99,1,304,49.5,12.375,0.125,38.0
42,42,25.0,12.5,62.5,0.08,66.5,434,98,2,266,54.25,12.25,0.25,33.25
43,43,25.0,12.5,62.5,0.08,66.0,429,99,1,271,53.625,12.375,0.125,33.875
44,44,25.0,12.5,62.5,0.08,66.625,435,98,2,265,54.37499999999999,12.25,0.25,33.125
45,45,25.0,12.5,62.5,0.08,61.875,397,98,2,303,49.625,12.25,0.25,37.875
46,46,25.0,12.5,62.5,0.08,62.375,400,99,1,300,50.0,12.375,0.125,37.5
47,47,25.0,12.5,62.5,0.08,65.5,425,99,1,275,53.125,12.375,0.125,34.375
48,48,25.0,12.5,62.5,0.08,65.25,425,97,3,275,53.125,12.125,0.375,34.375
49,49,25.0,12.5,62.5,0.08,61.0,389,99,1,311,48.625,12.375,0.125,38.875
50,50,25.0,12.5,62.5,0.08,62.74999999999999,402,100,0,298,50.24999999999999,12.5,0.0,37.25
51,51,25.0,12.5,62.5,0.08,63.625,410,99,1,290,51.24999999999999,12.375,0.125,36.25
52,52,25.0,12.5,62.5,0.08,62.125,398,99,1,302,49.75,12.375,0.125,37.75
53,53,25.0,12.5,62.5,0.08,65.0,420,100,0,280,52.5,12.5,0.0,35.0
54,54,25.0,12.5,62.5,0.08,65.5,424,100,0,276,53.0,12.5,0.0,34.5
55,55,25.0,12.5,62.5,0.08,64.875,420,99,1,280,52.5,12.375,0.125,35.0
56,56,25.0,12.5,62.5,0.08,64.0,412,100,0,288,51.5,12.5,0.0,36.0
57,57,25.0,12.5,62.5,0.08,65.75,428,98,2,272,53.5,12.25,0.25,34.0
58,58,25.0,12.5,62.5,0.08,66.5,433,99,1,267,54.125,12.375,0.125,33.375
59,59,25.0,12.5,62.5,0.08,67.0,437,99,1,263,54.625,12.375,0.125,32.875
60,60,25.0,12.5,62.5,0.08,61.75000000000001,394,100,0,306,49.25,12.5,0.0,38.25
