,Unnamed: 0,Simulation number,Percent of coerced cars,Percent of lying cars,Percent of honest cars,Density,Accuracy,True Positives,True Negatives,False Positives,False Negatives,Percent True Positives,Percent True Negatives,Percent False Positives,Percent False Negatives
11,11,11,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,58.66666666666666,254,98,2,246,42.333333333333336,16.333333333333332,0.3333333333333333,41.0
12,12,12,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,55.833333333333336,235,100,0,265,39.16666666666666,16.666666666666664,0.0,44.16666666666666
13,13,13,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,56.833333333333336,241,100,0,259,40.16666666666666,16.666666666666664,0.0,43.16666666666666
14,14,14,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,59.833333333333336,260,99,1,240,43.333333333333336,16.5,0.1666666666666666,40.0
15,15,15,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,56.66666666666666,241,99,1,259,40.16666666666666,16.5,0.1666666666666666,43.16666666666666
16,16,16,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,57.66666666666666,247,99,1,253,41.16666666666667,16.5,0.1666666666666666,42.16666666666667
17,17,17,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,58.66666666666666,252,100,0,248,42.0,16.666666666666664,0.0,41.333333333333336
18,18,18,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,54.16666666666666,225,100,0,275,37.5,16.666666666666664,0.0,45.83333333333333
19,19,19,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,53.333333333333336,221,99,1,279,36.833333333333336,16.5,0.1666666666666666,46.5
20,20,20,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,59.0,255,99,1,245,42.5,16.5,0.1666666666666666,40.833333333333336
21,21,21,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,57.49999999999999,247,98,2,253,41.16666666666667,16.333333333333332,0.3333333333333333,42.16666666666667
22,22,22,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,55.16666666666666,232,99,1,268,38.66666666666666,16.5,0.1666666666666666,44.66666666666666
23,23,23,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,56.833333333333336,243,98,2,257,40.5,16.333333333333332,0.3333333333333333,42.833333333333336
24,24,24,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,59.0,255,99,1,245,42.5,16.5,0.1666666666666666,40.833333333333336
25,25,25,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,55.66666666666666,236,98,2,264,39.33333333333333,16.333333333333332,0.3333333333333333,44.0
26,26,26,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,60.0,260,100,0,240,43.333333333333336,16.666666666666664,0.0,40.0
27,27,27,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,59.66666666666667,258,100,0,242,43.0,16.666666666666664,0.0,40.33333333333333
28,28,28,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,58.16666666666666,249,100,0,251,41.5,16.666666666666664,0.0,41.833333333333336
29,29,29,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,54.333333333333336,227,99,1,273,37.833333333333336,16.5,0.1666666666666666,45.5
30,30,30,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,59.16666666666666,256,99,1,244,42.66666666666667,16.5,0.1666666666666666,40.66666666666666
31,31,31,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,58.66666666666666,253,99,1,247,42.16666666666667,16.5,0.1666666666666666,41.16666666666667
32,32,32,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,57.99999999999999,250,98,2,250,41.66666666666667,16.333333333333332,0.3333333333333333,41.66666666666667
33,33,33,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,58.66666666666666,252,100,0,248,42.0,16.666666666666664,0.0,41.333333333333336
34,34,34,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,54.16666666666666,225,100,0,275,37.5,16.666666666666664,0.0,45.83333333333333
35,35,35,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,58.833333333333336,254,99,1,246,42.333333333333336,16.5,0.1666666666666666,41.0
36,36,36,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,53.16666666666666,219,100,0,281,36.5,16.666666666666664,0.0,46.833333333333336
37,37,37,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,61.16666666666667,267,100,0,233,44.5,16.666666666666664,0.0,38.83333333333333
38,38,38,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,57.66666666666666,247,99,1,253,41.16666666666667,16.5,0.1666666666666666,42.16666666666667
39,39,39,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,60.333333333333336,263,99,1,237,43.833333333333336,16.5,0.1666666666666666,39.5
40,40,40,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,53.833333333333336,223,100,0,277,37.16666666666666,16.666666666666664,0.0,46.16666666666666
41,41,41,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,55.16666666666666,231,100,0,269,38.5,16.666666666666664,0.0,44.83333333333333
42,42,42,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,62.5,278,97,3,222,46.33333333333333,16.166666666666664,0.5,37.0
43,43,43,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,55.16666666666666,231,100,0,269,38.5,16.666666666666664,0.0,44.83333333333333
44,44,44,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,60.5,266,97,3,234,44.333333333333336,16.166666666666664,0.5,39.0
45,45,45,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,49.66666666666666,198,100,0,302,33.0,16.666666666666664,0.0,50.33333333333333
46,46,46,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,56.99999999999999,242,100,0,258,40.33333333333333,16.666666666666664,0.0,43.0
47,47,47,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,61.16666666666667,267,100,0,233,44.5,16.666666666666664,0.0,38.83333333333333
48,48,48,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,56.99999999999999,242,100,0,258,40.33333333333333,16.666666666666664,0.0,43.0
49,49,49,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,53.0,219,99,1,281,36.5,16.5,0.1666666666666666,46.833333333333336
50,50,50,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,58.66666666666666,254,98,2,246,42.333333333333336,16.333333333333332,0.3333333333333333,41.0
51,51,51,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,57.66666666666666,247,99,1,253,41.16666666666667,16.5,0.1666666666666666,42.16666666666667
52,52,52,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,56.49999999999999,239,100,0,261,39.83333333333333,16.666666666666664,0.0,43.5
53,53,53,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,60.16666666666667,261,100,0,239,43.5,16.666666666666664,0.0,39.83333333333333
54,54,54,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,59.5,258,99,1,242,43.0,16.5,0.1666666666666666,40.33333333333333
55,55,55,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,60.66666666666667,264,100,0,236,44.0,16.666666666666664,0.0,39.33333333333333
56,56,56,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,56.333333333333336,239,99,1,261,39.83333333333333,16.5,0.1666666666666666,43.5
57,57,57,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,58.16666666666666,249,100,0,251,41.5,16.666666666666664,0.0,41.833333333333336
58,58,58,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,60.66666666666667,264,100,0,236,44.0,16.666666666666664,0.0,39.33333333333333
59,59,59,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,60.5,264,99,1,236,44.0,16.5,0.1666666666666666,39.33333333333333
60,60,60,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,58.66666666666666,253,99,1,247,42.16666666666667,16.5,0.1666666666666666,41.16666666666667
61,61,61,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,57.333333333333336,244,100,0,256,40.66666666666666,16.666666666666664,0.0,42.66666666666667
62,62,62,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,55.333333333333336,232,100,0,268,38.66666666666666,16.666666666666664,0.0,44.66666666666666
63,63,63,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,60.66666666666667,265,99,1,235,44.16666666666666,16.5,0.1666666666666666,39.16666666666666
64,64,64,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,55.833333333333336,235,100,0,265,39.16666666666666,16.666666666666664,0.0,44.16666666666666
65,65,65,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,62.0,274,98,2,226,45.66666666666666,16.333333333333332,0.3333333333333333,37.66666666666666
66,66,66,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,58.66666666666666,255,97,3,245,42.5,16.166666666666664,0.5,40.833333333333336
67,67,67,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,56.833333333333336,241,100,0,259,40.16666666666666,16.666666666666664,0.0,43.16666666666666
68,68,68,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,56.833333333333336,241,100,0,259,40.16666666666666,16.666666666666664,0.0,43.16666666666666
69,69,69,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,54.66666666666666,228,100,0,272,38.0,16.666666666666664,0.0,45.33333333333333
70,70,70,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,55.333333333333336,232,100,0,268,38.66666666666666,16.666666666666664,0.0,44.66666666666666
71,71,71,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,53.66666666666666,222,100,0,278,37.0,16.666666666666664,0.0,46.33333333333333
72,72,72,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,54.333333333333336,226,100,0,274,37.66666666666666,16.666666666666664,0.0,45.66666666666666
73,73,73,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,55.333333333333336,232,100,0,268,38.66666666666666,16.666666666666664,0.0,44.66666666666666
74,74,74,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,59.0,254,100,0,246,42.333333333333336,16.666666666666664,0.0,41.0
75,75,75,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,58.16666666666666,250,99,1,250,41.66666666666667,16.5,0.1666666666666666,41.66666666666667
76,76,76,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,59.16666666666666,255,100,0,245,42.5,16.666666666666664,0.0,40.833333333333336
77,77,77,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,57.16666666666666,243,100,0,257,40.5,16.666666666666664,0.0,42.833333333333336
78,78,78,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,58.16666666666666,249,100,0,251,41.5,16.666666666666664,0.0,41.833333333333336
79,79,79,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,59.66666666666667,258,100,0,242,43.0,16.666666666666664,0.0,40.33333333333333
80,80,80,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,57.16666666666666,243,100,0,257,40.5,16.666666666666664,0.0,42.833333333333336
81,81,81,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,55.833333333333336,236,99,1,264,39.33333333333333,16.5,0.1666666666666666,44.0
82,82,82,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,56.49999999999999,242,97,3,258,40.33333333333333,16.166666666666664,0.5,43.0
83,83,83,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,58.66666666666666,253,99,1,247,42.16666666666667,16.5,0.1666666666666666,41.16666666666667
84,84,84,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,59.16666666666666,256,99,1,244,42.66666666666667,16.5,0.1666666666666666,40.66666666666666
85,85,85,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,54.333333333333336,227,99,1,273,37.833333333333336,16.5,0.1666666666666666,45.5
86,86,86,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,60.83333333333333,266,99,1,234,44.333333333333336,16.5,0.1666666666666666,39.0
87,87,87,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,58.66666666666666,252,100,0,248,42.0,16.666666666666664,0.0,41.333333333333336
88,88,88,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,57.16666666666666,243,100,0,257,40.5,16.666666666666664,0.0,42.833333333333336
89,89,89,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,56.99999999999999,242,100,0,258,40.33333333333333,16.666666666666664,0.0,43.0
90,90,90,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,57.833333333333336,248,99,1,252,41.333333333333336,16.5,0.1666666666666666,42.0
91,91,91,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,56.66666666666666,242,98,2,258,40.33333333333333,16.333333333333332,0.3333333333333333,43.0
92,92,92,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,59.0,256,98,2,244,42.66666666666667,16.333333333333332,0.3333333333333333,40.66666666666666
93,93,93,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,57.833333333333336,247,100,0,253,41.16666666666667,16.666666666666664,0.0,42.16666666666667
94,94,94,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,56.99999999999999,243,99,1,257,40.5,16.5,0.1666666666666666,42.833333333333336
95,95,95,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,56.66666666666666,240,100,0,260,40.0,16.666666666666664,0.0,43.333333333333336
96,96,96,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,57.333333333333336,245,99,1,255,40.833333333333336,16.5,0.1666666666666666,42.5
97,97,97,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,59.66666666666667,259,99,1,241,43.16666666666666,16.5,0.1666666666666666,40.16666666666666
98,98,98,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,57.16666666666666,246,97,3,254,41.0,16.166666666666664,0.5,42.333333333333336
99,99,99,33.33333333333333,16.666666666666664,50.0,0.1066666666666666,58.16666666666666,250,99,1,250,41.66666666666667,16.5,0.1666666666666666,41.66666666666667
0,0,0,20.0,10.0,70.0,0.064,69.89999999999999,600,99,1,300,60.0,9.9,0.1,30.0
1,1,1,20.0,10.0,70.0,0.064,70.0,601,99,1,299,60.1,9.9,0.1,29.9
2,2,2,20.0,10.0,70.0,0.064,69.39999999999999,596,98,2,304,59.6,9.8,0.2,30.4
3,3,3,20.0,10.0,70.0,0.064,68.5,586,99,1,314,58.6,9.9,0.1,31.4
4,4,4,20.0,10.0,70.0,0.064,70.3,603,100,0,297,60.3,10.0,0.0,29.7
5,5,5,20.0,10.0,70.0,0.064,70.6,607,99,1,293,60.7,9.9,0.1,29.3
6,6,6,20.0,10.0,70.0,0.064,70.5,606,99,1,294,60.6,9.9,0.1,29.4
7,7,7,20.0,10.0,70.0,0.064,67.30000000000001,573,100,0,327,57.3,10.0,0.0,32.7
8,8,8,20.0,10.0,70.0,0.064,68.5,586,99,1,314,58.6,9.9,0.1,31.4
9,9,9,20.0,10.0,70.0,0.064,70.5,608,97,3,292,60.8,9.7,0.3,29.2
10,10,10,20.0,10.0,70.0,0.064,68.0,580,100,0,320,57.99999999999999,10.0,0.0,32.0
11,11,11,20.0,10.0,70.0,0.064,69.8,599,99,1,301,59.9,9.9,0.1,30.1
12,12,12,20.0,10.0,70.0,0.064,68.8,589,99,1,311,58.9,9.9,0.1,31.1
13,13,13,20.0,10.0,70.0,0.064,68.30000000000001,584,99,1,316,58.4,9.9,0.1,31.6
14,14,14,20.0,10.0,70.0,0.064,69.1,592,99,1,308,59.2,9.9,0.1,30.8
15,15,15,20.0,10.0,70.0,0.064,70.39999999999999,605,99,1,295,60.5,9.9,0.1,29.5
16,16,16,20.0,10.0,70.0,0.064,70.5,608,97,3,292,60.8,9.7,0.3,29.2
17,17,17,20.0,10.0,70.0,0.064,70.7,607,100,0,293,60.7,10.0,0.0,29.3
18,18,18,20.0,10.0,70.0,0.064,67.10000000000001,572,99,1,328,57.2,9.9,0.1,32.800000000000004
19,19,19,20.0,10.0,70.0,0.064,72.5,625,100,0,275,62.5,10.0,0.0,27.500000000000004
20,20,20,20.0,10.0,70.0,0.064,68.89999999999999,590,99,1,310,59.0,9.9,0.1,31.0
21,21,21,20.0,10.0,70.0,0.064,68.10000000000001,582,99,1,318,58.2,9.9,0.1,31.8
22,22,22,20.0,10.0,70.0,0.064,70.1,605,96,4,295,60.5,9.6,0.4,29.5
23,23,23,20.0,10.0,70.0,0.064,69.19999999999999,592,100,0,308,59.2,10.0,0.0,30.8
24,24,24,20.0,10.0,70.0,0.064,70.6,606,100,0,294,60.6,10.0,0.0,29.4
25,25,25,20.0,10.0,70.0,0.064,71.0,610,100,0,290,61.0,10.0,0.0,29.0
26,26,26,20.0,10.0,70.0,0.064,71.6,616,100,0,284,61.6,10.0,0.0,28.4
27,27,27,20.0,10.0,70.0,0.064,70.1,603,98,2,297,60.3,9.8,0.2,29.7
28,28,28,20.0,10.0,70.0,0.064,69.8,599,99,1,301,59.9,9.9,0.1,30.1
29,29,29,20.0,10.0,70.0,0.064,70.19999999999999,605,97,3,295,60.5,9.7,0.3,29.5
30,30,30,20.0,10.0,70.0,0.064,66.5,567,98,2,333,56.7,9.8,0.2,33.300000000000004
31,31,31,20.0,10.0,70.0,0.064,68.8,589,99,1,311,58.9,9.9,0.1,31.1
32,32,32,20.0,10.0,70.0,0.064,69.39999999999999,595,99,1,305,59.5,9.9,0.1,30.5
33,33,33,20.0,10.0,70.0,0.064,70.19999999999999,604,98,2,296,60.4,9.8,0.2,29.6
34,34,34,20.0,10.0,70.0,0.064,68.2,584,98,2,316,58.4,9.8,0.2,31.6
35,35,35,20.0,10.0,70.0,0.064,70.3,603,100,0,297,60.3,10.0,0.0,29.7
36,36,36,20.0,10.0,70.0,0.064,69.69999999999999,598,99,1,302,59.8,9.9,0.1,30.2
37,37,37,20.0,10.0,70.0,0.064,68.60000000000001,586,100,0,314,58.6,10.0,0.0,31.4
38,38,38,20.0,10.0,70.0,0.064,72.1,621,100,0,279,62.1,10.0,0.0,27.9
39,39,39,20.0,10.0,70.0,0.064,68.2,585,97,3,315,58.5,9.7,0.3,31.5
40,40,40,20.0,10.0,70.0,0.064,70.6,607,99,1,293,60.7,9.9,0.1,29.3
41,41,41,20.0,10.0,70.0,0.064,68.60000000000001,586,100,0,314,58.6,10.0,0.0,31.4
42,42,42,20.0,10.0,70.0,0.064,70.3,604,99,1,296,60.4,9.9,0.1,29.6
43,43,43,20.0,10.0,70.0,0.064,68.7,587,100,0,313,58.7,10.0,0.0,31.3
44,44,44,20.0,10.0,70.0,0.064,70.89999999999999,611,98,2,289,61.1,9.8,0.2,28.9
45,45,45,20.0,10.0,70.0,0.064,70.6,607,99,1,293,60.7,9.9,0.1,29.3
46,46,46,20.0,10.0,70.0,0.064,69.6,596,100,0,304,59.6,10.0,0.0,30.4
47,47,47,20.0,10.0,70.0,0.064,70.1,602,99,1,298,60.2,9.9,0.1,29.8
48,48,48,20.0,10.0,70.0,0.064,69.39999999999999,594,100,0,306,59.4,10.0,0.0,30.6
49,49,49,20.0,10.0,70.0,0.064,67.7,578,99,1,322,57.8,9.9,0.1,32.2
50,50,50,20.0,10.0,70.0,0.064,71.89999999999999,621,98,2,279,62.1,9.8,0.2,27.9
51,51,51,20.0,10.0,70.0,0.064,70.5,606,99,1,294,60.6,9.9,0.1,29.4
52,52,52,20.0,10.0,70.0,0.064,69.3,594,99,1,306,59.4,9.9,0.1,30.6
