,Simulation number,Percent of coerced cars,Percent of lying cars,Percent of honest cars,Density,Accuracy,True Positives,True Negatives,False Positives,False Negatives,Percent True Positives,Percent True Negatives,Percent False Positives,Percent False Negatives
0,0,40.0,20.0,40.0,0.128,53.800000000000004,169,100,0,231,33.800000000000004,20.0,0.0,46.2
1,1,40.0,20.0,40.0,0.128,57.99999999999999,190,100,0,210,38.0,20.0,0.0,42.0
2,2,40.0,20.0,40.0,0.128,55.00000000000001,175,100,0,225,35.0,20.0,0.0,45.0
3,3,40.0,20.0,40.0,0.128,53.6,168,100,0,232,33.6,20.0,0.0,46.400000000000006
4,4,40.0,20.0,40.0,0.128,53.2,167,99,1,233,33.4,19.8,0.2,46.6
5,5,40.0,20.0,40.0,0.128,53.400000000000006,167,100,0,233,33.4,20.0,0.0,46.6
6,6,40.0,20.0,40.0,0.128,55.800000000000004,181,98,2,219,36.199999999999996,19.6,0.4,43.8
7,7,40.0,20.0,40.0,0.128,55.800000000000004,180,99,1,220,36.0,19.8,0.2,44.0
8,8,40.0,20.0,40.0,0.128,55.400000000000006,177,100,0,223,35.4,20.0,0.0,44.6
9,9,40.0,20.0,40.0,0.128,54.400000000000006,175,97,3,225,35.0,19.400000000000002,0.6,45.0
10,10,40.0,20.0,40.0,0.128,52.800000000000004,164,100,0,236,32.800000000000004,20.0,0.0,47.199999999999996
11,11,40.0,20.0,40.0,0.128,56.00000000000001,180,100,0,220,36.0,20.0,0.0,44.0
12,12,40.0,20.0,40.0,0.128,50.4,152,100,0,248,30.4,20.0,0.0,49.6
13,13,40.0,20.0,40.0,0.128,55.800000000000004,180,99,1,220,36.0,19.8,0.2,44.0
14,14,40.0,20.0,40.0,0.128,55.00000000000001,175,100,0,225,35.0,20.0,0.0,45.0
15,15,40.0,20.0,40.0,0.128,53.800000000000004,169,100,0,231,33.800000000000004,20.0,0.0,46.2
16,16,40.0,20.0,40.0,0.128,53.0,166,99,1,234,33.2,19.8,0.2,46.800000000000004
