,Simulation number,Percent of coerced cars,Percent of lying cars,Percent of honest cars,Density,Accuracy,True Positives,True Negatives,False Positives,False Negatives,Percent True Positives,Percent True Negatives,Percent False Positives,Percent False Negatives
0,0,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,61.142857142857146,328,100,0,272,46.85714285714286,14.285714285714285,0.0,38.857142857142854
1,1,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,64.85714285714286,354,100,0,246,50.57142857142857,14.285714285714285,0.0,35.14285714285714
2,2,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,60.42857142857143,323,100,0,277,46.14285714285714,14.285714285714285,0.0,39.57142857142858
3,3,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,60.42857142857143,323,100,0,277,46.14285714285714,14.285714285714285,0.0,39.57142857142858
4,4,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,62.71428571428571,339,100,0,261,48.42857142857142,14.285714285714285,0.0,37.285714285714285
5,5,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,62.142857142857146,336,99,1,264,48.0,14.142857142857142,0.14285714285714285,37.714285714285715
6,6,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,65.14285714285715,356,100,0,244,50.857142857142854,14.285714285714285,0.0,34.85714285714286
7,7,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,63.142857142857146,344,98,2,256,49.142857142857146,14.000000000000002,0.2857142857142857,36.57142857142857
8,8,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,57.57142857142858,305,98,2,295,43.57142857142857,14.000000000000002,0.2857142857142857,42.142857142857146
9,9,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,61.0,327,100,0,273,46.714285714285715,14.285714285714285,0.0,39.0
10,10,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,62.42857142857143,339,98,2,261,48.42857142857142,14.000000000000002,0.2857142857142857,37.285714285714285
11,11,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,59.857142857142854,320,99,1,280,45.714285714285715,14.142857142857142,0.14285714285714285,40.0
12,12,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,60.71428571428571,325,100,0,275,46.42857142857143,14.285714285714285,0.0,39.285714285714285
13,13,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,61.142857142857146,329,99,1,271,47.0,14.142857142857142,0.14285714285714285,38.714285714285715
14,14,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,58.42857142857143,309,100,0,291,44.142857142857146,14.285714285714285,0.0,41.57142857142857
15,15,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,58.857142857142854,312,100,0,288,44.57142857142857,14.285714285714285,0.0,41.14285714285714
16,16,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,58.57142857142858,310,100,0,290,44.285714285714285,14.285714285714285,0.0,41.42857142857143
17,17,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,58.14285714285714,307,100,0,293,43.857142857142854,14.285714285714285,0.0,41.85714285714286
18,18,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,60.14285714285714,324,97,3,276,46.285714285714285,13.857142857142858,0.4285714285714286,39.42857142857143
19,19,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,55.85714285714286,291,100,0,309,41.57142857142857,14.285714285714285,0.0,44.142857142857146
20,20,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,60.42857142857143,324,99,1,276,46.285714285714285,14.142857142857142,0.14285714285714285,39.42857142857143
21,21,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,56.85714285714286,298,100,0,302,42.57142857142857,14.285714285714285,0.0,43.142857142857146
22,22,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,60.857142857142854,326,100,0,274,46.57142857142857,14.285714285714285,0.0,39.14285714285714
23,23,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,62.71428571428571,340,99,1,260,48.57142857142857,14.142857142857142,0.14285714285714285,37.142857142857146
24,24,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,60.57142857142858,324,100,0,276,46.285714285714285,14.285714285714285,0.0,39.42857142857143
25,25,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,63.0,342,99,1,258,48.857142857142854,14.142857142857142,0.14285714285714285,36.857142857142854
26,26,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,64.85714285714286,355,99,1,245,50.71428571428571,14.142857142857142,0.14285714285714285,35.0
27,27,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,60.42857142857143,323,100,0,277,46.14285714285714,14.285714285714285,0.0,39.57142857142858
28,28,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,58.14285714285714,307,100,0,293,43.857142857142854,14.285714285714285,0.0,41.85714285714286
29,29,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,61.42857142857143,330,100,0,270,47.14285714285714,14.285714285714285,0.0,38.57142857142858
30,30,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,62.0,334,100,0,266,47.714285714285715,14.285714285714285,0.0,38.0
31,31,28.57142857142857,14.285714285714285,57.14285714285714,0.09142857142857143,63.28571428571429,343,100,0,257,49.0,14.285714285714285,0.0,36.714285714285715
