,Simulation number,Percent of coerced cars,Percent of lying cars,Percent of honest cars,Density,Accuracy,True Positives,True Negatives,False Positives,False Negatives,Percent True Positives,Percent True Negatives,Percent False Positives,Percent False Negatives
0,0,20.0,40.0,40.0,0.128,48.6,43,200,0,257,8.6,40.0,0.0,51.4
1,1,20.0,40.0,40.0,0.128,49.0,46,199,1,254,9.2,39.800000000000004,0.2,50.8
2,2,20.0,40.0,40.0,0.128,52.800000000000004,64,200,0,236,12.8,40.0,0.0,47.199999999999996
3,3,20.0,40.0,40.0,0.128,48.4,44,198,2,256,8.799999999999999,39.6,0.4,51.2
4,4,20.0,40.0,40.0,0.128,47.8,39,200,0,261,7.8,40.0,0.0,52.2
5,5,20.0,40.0,40.0,0.128,50.2,51,200,0,249,10.2,40.0,0.0,49.8
6,6,20.0,40.0,40.0,0.128,45.2,26,200,0,274,5.2,40.0,0.0,54.800000000000004
7,7,20.0,40.0,40.0,0.128,46.800000000000004,36,198,2,264,7.199999999999999,39.6,0.4,52.800000000000004
8,8,20.0,40.0,40.0,0.128,47.8,40,199,1,260,8.0,39.800000000000004,0.2,52.0
9,9,20.0,40.0,40.0,0.128,47.599999999999994,38,200,0,262,7.6,40.0,0.0,52.400000000000006
10,10,20.0,40.0,40.0,0.128,47.8,39,200,0,261,7.8,40.0,0.0,52.2
11,11,20.0,40.0,40.0,0.128,50.8,54,200,0,246,10.8,40.0,0.0,49.2
12,12,20.0,40.0,40.0,0.128,49.4,47,200,0,253,9.4,40.0,0.0,50.6
13,13,20.0,40.0,40.0,0.128,49.8,49,200,0,251,9.8,40.0,0.0,50.2
14,14,20.0,40.0,40.0,0.128,45.800000000000004,29,200,0,271,5.800000000000001,40.0,0.0,54.2
15,15,20.0,40.0,40.0,0.128,50.0,52,198,2,248,10.4,39.6,0.4,49.6
16,16,20.0,40.0,40.0,0.128,49.6,49,199,1,251,9.8,39.800000000000004,0.2,50.2
17,17,20.0,40.0,40.0,0.128,48.4,43,199,1,257,8.6,39.800000000000004,0.2,51.4
18,18,20.0,40.0,40.0,0.128,47.199999999999996,36,200,0,264,7.199999999999999,40.0,0.0,52.800000000000004
19,19,20.0,40.0,40.0,0.128,48.6,43,200,0,257,8.6,40.0,0.0,51.4
20,20,20.0,40.0,40.0,0.128,49.8,49,200,0,251,9.8,40.0,0.0,50.2
21,21,20.0,40.0,40.0,0.128,48.4,44,198,2,256,8.799999999999999,39.6,0.4,51.2
22,22,20.0,40.0,40.0,0.128,47.599999999999994,39,199,1,261,7.8,39.800000000000004,0.2,52.2
23,23,20.0,40.0,40.0,0.128,49.2,46,200,0,254,9.2,40.0,0.0,50.8
24,24,20.0,40.0,40.0,0.128,47.199999999999996,36,200,0,264,7.199999999999999,40.0,0.0,52.800000000000004
25,25,20.0,40.0,40.0,0.128,50.2,52,199,1,248,10.4,39.800000000000004,0.2,49.6
