,Unnamed: 0,Simulation number,Percent of coerced cars,Percent of lying cars,Percent of honest cars,Density,Accuracy,True Positives,True Negatives,False Positives,False Negatives,Percent True Positives,Percent True Negatives,Percent False Positives,Percent False Negatives
18,18,18,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.0,18,300,0,282,3.0,50.0,0.0,47.0
19,19,19,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,52.83333333333333,17,300,0,283,2.833333333333333,50.0,0.0,47.16666666666667
20,20,20,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,52.5,15,300,0,285,2.5,50.0,0.0,47.5
21,21,21,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,55.16666666666666,33,298,2,267,5.5,49.66666666666666,0.3333333333333333,44.5
22,22,22,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,55.16666666666666,31,300,0,269,5.166666666666667,50.0,0.0,44.83333333333333
23,23,23,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,52.33333333333333,14,300,0,286,2.333333333333333,50.0,0.0,47.66666666666667
24,24,24,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,51.5,10,299,1,290,1.6666666666666667,49.833333333333336,0.1666666666666666,48.333333333333336
25,25,25,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,54.16666666666666,26,299,1,274,4.333333333333334,49.833333333333336,0.1666666666666666,45.66666666666666
26,26,26,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,56.49999999999999,41,298,2,259,6.833333333333333,49.66666666666666,0.3333333333333333,43.16666666666666
27,27,27,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,54.0,24,300,0,276,4.0,50.0,0.0,46.0
28,28,28,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.833333333333336,23,300,0,277,3.833333333333333,50.0,0.0,46.16666666666666
29,29,29,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,52.66666666666666,16,300,0,284,2.666666666666667,50.0,0.0,47.333333333333336
30,30,30,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,52.16666666666666,13,300,0,287,2.166666666666667,50.0,0.0,47.833333333333336
31,31,31,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,54.833333333333336,31,298,2,269,5.166666666666667,49.66666666666666,0.3333333333333333,44.83333333333333
32,32,32,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.5,21,300,0,279,3.5000000000000004,50.0,0.0,46.5
33,33,33,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,52.16666666666666,14,299,1,286,2.333333333333333,49.833333333333336,0.1666666666666666,47.66666666666667
34,34,34,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.0,18,300,0,282,3.0,50.0,0.0,47.0
35,35,35,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,52.83333333333333,17,300,0,283,2.833333333333333,50.0,0.0,47.16666666666667
36,36,36,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,52.83333333333333,17,300,0,283,2.833333333333333,50.0,0.0,47.16666666666667
37,37,37,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,54.16666666666666,25,300,0,275,4.166666666666666,50.0,0.0,45.83333333333333
38,38,38,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,52.5,15,300,0,285,2.5,50.0,0.0,47.5
39,39,39,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,54.0,24,300,0,276,4.0,50.0,0.0,46.0
40,40,40,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.333333333333336,20,300,0,280,3.333333333333333,50.0,0.0,46.66666666666666
41,41,41,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.16666666666666,19,300,0,281,3.166666666666667,50.0,0.0,46.833333333333336
42,42,42,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,52.5,15,300,0,285,2.5,50.0,0.0,47.5
43,43,43,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,52.83333333333333,17,300,0,283,2.833333333333333,50.0,0.0,47.16666666666667
44,44,44,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,54.16666666666666,25,300,0,275,4.166666666666666,50.0,0.0,45.83333333333333
45,45,45,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,54.66666666666666,29,299,1,271,4.833333333333333,49.833333333333336,0.1666666666666666,45.16666666666666
46,46,46,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,55.833333333333336,35,300,0,265,5.833333333333333,50.0,0.0,44.16666666666666
47,47,47,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.0,18,300,0,282,3.0,50.0,0.0,47.0
48,48,48,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.5,21,300,0,279,3.5000000000000004,50.0,0.0,46.5
49,49,49,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.66666666666666,22,300,0,278,3.6666666666666665,50.0,0.0,46.33333333333333
50,50,50,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,54.66666666666666,28,300,0,272,4.666666666666667,50.0,0.0,45.33333333333333
51,51,51,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.833333333333336,23,300,0,277,3.833333333333333,50.0,0.0,46.16666666666666
52,52,52,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,55.50000000000001,33,300,0,267,5.5,50.0,0.0,44.5
53,53,53,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,52.5,15,300,0,285,2.5,50.0,0.0,47.5
54,54,54,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.333333333333336,20,300,0,280,3.333333333333333,50.0,0.0,46.66666666666666
55,55,55,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,52.33333333333333,15,299,1,285,2.5,49.833333333333336,0.1666666666666666,47.5
56,56,56,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.66666666666666,22,300,0,278,3.6666666666666665,50.0,0.0,46.33333333333333
57,57,57,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,54.16666666666666,25,300,0,275,4.166666666666666,50.0,0.0,45.83333333333333
58,58,58,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.66666666666666,22,300,0,278,3.6666666666666665,50.0,0.0,46.33333333333333
59,59,59,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,51.83333333333333,11,300,0,289,1.8333333333333333,50.0,0.0,48.16666666666667
60,60,60,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.0,19,299,1,281,3.166666666666667,49.833333333333336,0.1666666666666666,46.833333333333336
61,61,61,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.5,21,300,0,279,3.5000000000000004,50.0,0.0,46.5
62,62,62,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.5,22,299,1,278,3.6666666666666665,49.833333333333336,0.1666666666666666,46.33333333333333
63,63,63,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,51.83333333333333,13,298,2,287,2.166666666666667,49.66666666666666,0.3333333333333333,47.833333333333336
64,64,64,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,54.0,24,300,0,276,4.0,50.0,0.0,46.0
65,65,65,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.0,18,300,0,282,3.0,50.0,0.0,47.0
66,66,66,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.66666666666666,22,300,0,278,3.6666666666666665,50.0,0.0,46.33333333333333
67,67,67,16.666666666666664,50.0,33.33333333333333,0.1066666666666666,53.16666666666666,20,299,1,280,3.333333333333333,49.833333333333336,0.1666666666666666,46.66666666666666
